Stud_Id, Stud_age, Stud_sex, Advisor_id, Adv_Id, Adv_age, Adv_sex, Yrs_of_exp, Salary
5, 12, 0, 1, 1, 47, 0, 10, 433456
6, 20, 0, 8, 8, 55, 0, 4, 347410
8, 16, 0, 8, 8, 55, 0, 4, 347410
11, 15, 0, 1, 1, 47, 0, 10, 433456
13, 17, 0, 7, 7, 56, 0, 6, 462991
15, 20, 0, 2, 2, 47, 0, 3, 423529
21, 19, 0, 8, 8, 55, 0, 4, 347410
26, 12, 0, 8, 8, 55, 0, 4, 347410
30, 17, 0, 2, 2, 47, 0, 3, 423529
9, 20, 1, 8, 8, 55, 0, 4, 347410
17, 16, 1, 8, 8, 55, 0, 4, 347410
18, 13, 1, 2, 2, 47, 0, 3, 423529
27, 14, 1, 2, 2, 47, 0, 3, 423529
