Stud_Id, Stud_age, Stud_sex, Advisor_id, Adv_Id, Adv_age, Adv_sex, Yrs_of_exp, Salary
2, 16, 0, 3, 1, 47, 0, 10, 433456
2, 16, 0, 3, 2, 47, 0, 3, 423529
2, 16, 0, 3, 3, 36, 1, 9, 183546
2, 16, 0, 3, 4, 40, 0, 10, 112134
2, 16, 0, 3, 5, 37, 1, 2, 205481
2, 16, 0, 3, 6, 38, 1, 7, 466075
2, 16, 0, 3, 7, 56, 0, 6, 462991
2, 16, 0, 3, 8, 55, 0, 4, 347410
2, 16, 0, 3, 9, 31, 0, 5, 359453
2, 16, 0, 3, 10, 34, 0, 4, 206027
5, 12, 0, 1, 1, 47, 0, 10, 433456
5, 12, 0, 1, 2, 47, 0, 3, 423529
5, 12, 0, 1, 3, 36, 1, 9, 183546
5, 12, 0, 1, 4, 40, 0, 10, 112134
5, 12, 0, 1, 5, 37, 1, 2, 205481
5, 12, 0, 1, 6, 38, 1, 7, 466075
5, 12, 0, 1, 7, 56, 0, 6, 462991
5, 12, 0, 1, 8, 55, 0, 4, 347410
5, 12, 0, 1, 9, 31, 0, 5, 359453
5, 12, 0, 1, 10, 34, 0, 4, 206027
6, 20, 0, 8, 1, 47, 0, 10, 433456
6, 20, 0, 8, 2, 47, 0, 3, 423529
6, 20, 0, 8, 3, 36, 1, 9, 183546
6, 20, 0, 8, 4, 40, 0, 10, 112134
6, 20, 0, 8, 5, 37, 1, 2, 205481
6, 20, 0, 8, 6, 38, 1, 7, 466075
6, 20, 0, 8, 7, 56, 0, 6, 462991
6, 20, 0, 8, 8, 55, 0, 4, 347410
6, 20, 0, 8, 9, 31, 0, 5, 359453
6, 20, 0, 8, 10, 34, 0, 4, 206027
7, 19, 0, 9, 1, 47, 0, 10, 433456
7, 19, 0, 9, 2, 47, 0, 3, 423529
7, 19, 0, 9, 3, 36, 1, 9, 183546
7, 19, 0, 9, 4, 40, 0, 10, 112134
7, 19, 0, 9, 5, 37, 1, 2, 205481
7, 19, 0, 9, 6, 38, 1, 7, 466075
7, 19, 0, 9, 7, 56, 0, 6, 462991
7, 19, 0, 9, 8, 55, 0, 4, 347410
7, 19, 0, 9, 9, 31, 0, 5, 359453
7, 19, 0, 9, 10, 34, 0, 4, 206027
8, 16, 0, 8, 1, 47, 0, 10, 433456
8, 16, 0, 8, 2, 47, 0, 3, 423529
8, 16, 0, 8, 3, 36, 1, 9, 183546
8, 16, 0, 8, 4, 40, 0, 10, 112134
8, 16, 0, 8, 5, 37, 1, 2, 205481
8, 16, 0, 8, 6, 38, 1, 7, 466075
8, 16, 0, 8, 7, 56, 0, 6, 462991
8, 16, 0, 8, 8, 55, 0, 4, 347410
8, 16, 0, 8, 9, 31, 0, 5, 359453
8, 16, 0, 8, 10, 34, 0, 4, 206027
11, 15, 0, 1, 1, 47, 0, 10, 433456
11, 15, 0, 1, 2, 47, 0, 3, 423529
11, 15, 0, 1, 3, 36, 1, 9, 183546
11, 15, 0, 1, 4, 40, 0, 10, 112134
11, 15, 0, 1, 5, 37, 1, 2, 205481
11, 15, 0, 1, 6, 38, 1, 7, 466075
11, 15, 0, 1, 7, 56, 0, 6, 462991
11, 15, 0, 1, 8, 55, 0, 4, 347410
11, 15, 0, 1, 9, 31, 0, 5, 359453
11, 15, 0, 1, 10, 34, 0, 4, 206027
13, 17, 0, 7, 1, 47, 0, 10, 433456
13, 17, 0, 7, 2, 47, 0, 3, 423529
13, 17, 0, 7, 3, 36, 1, 9, 183546
13, 17, 0, 7, 4, 40, 0, 10, 112134
13, 17, 0, 7, 5, 37, 1, 2, 205481
13, 17, 0, 7, 6, 38, 1, 7, 466075
13, 17, 0, 7, 7, 56, 0, 6, 462991
13, 17, 0, 7, 8, 55, 0, 4, 347410
13, 17, 0, 7, 9, 31, 0, 5, 359453
13, 17, 0, 7, 10, 34, 0, 4, 206027
14, 12, 0, 5, 1, 47, 0, 10, 433456
14, 12, 0, 5, 2, 47, 0, 3, 423529
14, 12, 0, 5, 3, 36, 1, 9, 183546
14, 12, 0, 5, 4, 40, 0, 10, 112134
14, 12, 0, 5, 5, 37, 1, 2, 205481
14, 12, 0, 5, 6, 38, 1, 7, 466075
14, 12, 0, 5, 7, 56, 0, 6, 462991
14, 12, 0, 5, 8, 55, 0, 4, 347410
14, 12, 0, 5, 9, 31, 0, 5, 359453
14, 12, 0, 5, 10, 34, 0, 4, 206027
15, 20, 0, 2, 1, 47, 0, 10, 433456
15, 20, 0, 2, 2, 47, 0, 3, 423529
15, 20, 0, 2, 3, 36, 1, 9, 183546
15, 20, 0, 2, 4, 40, 0, 10, 112134
15, 20, 0, 2, 5, 37, 1, 2, 205481
15, 20, 0, 2, 6, 38, 1, 7, 466075
15, 20, 0, 2, 7, 56, 0, 6, 462991
15, 20, 0, 2, 8, 55, 0, 4, 347410
15, 20, 0, 2, 9, 31, 0, 5, 359453
15, 20, 0, 2, 10, 34, 0, 4, 206027
16, 14, 0, 6, 1, 47, 0, 10, 433456
16, 14, 0, 6, 2, 47, 0, 3, 423529
16, 14, 0, 6, 3, 36, 1, 9, 183546
16, 14, 0, 6, 4, 40, 0, 10, 112134
16, 14, 0, 6, 5, 37, 1, 2, 205481
16, 14, 0, 6, 6, 38, 1, 7, 466075
16, 14, 0, 6, 7, 56, 0, 6, 462991
16, 14, 0, 6, 8, 55, 0, 4, 347410
16, 14, 0, 6, 9, 31, 0, 5, 359453
16, 14, 0, 6, 10, 34, 0, 4, 206027
19, 19, 0, 3, 1, 47, 0, 10, 433456
19, 19, 0, 3, 2, 47, 0, 3, 423529
19, 19, 0, 3, 3, 36, 1, 9, 183546
19, 19, 0, 3, 4, 40, 0, 10, 112134
19, 19, 0, 3, 5, 37, 1, 2, 205481
19, 19, 0, 3, 6, 38, 1, 7, 466075
19, 19, 0, 3, 7, 56, 0, 6, 462991
19, 19, 0, 3, 8, 55, 0, 4, 347410
19, 19, 0, 3, 9, 31, 0, 5, 359453
19, 19, 0, 3, 10, 34, 0, 4, 206027
20, 19, 0, 9, 1, 47, 0, 10, 433456
20, 19, 0, 9, 2, 47, 0, 3, 423529
20, 19, 0, 9, 3, 36, 1, 9, 183546
20, 19, 0, 9, 4, 40, 0, 10, 112134
20, 19, 0, 9, 5, 37, 1, 2, 205481
20, 19, 0, 9, 6, 38, 1, 7, 466075
20, 19, 0, 9, 7, 56, 0, 6, 462991
20, 19, 0, 9, 8, 55, 0, 4, 347410
20, 19, 0, 9, 9, 31, 0, 5, 359453
20, 19, 0, 9, 10, 34, 0, 4, 206027
21, 19, 0, 8, 1, 47, 0, 10, 433456
21, 19, 0, 8, 2, 47, 0, 3, 423529
21, 19, 0, 8, 3, 36, 1, 9, 183546
21, 19, 0, 8, 4, 40, 0, 10, 112134
21, 19, 0, 8, 5, 37, 1, 2, 205481
21, 19, 0, 8, 6, 38, 1, 7, 466075
21, 19, 0, 8, 7, 56, 0, 6, 462991
21, 19, 0, 8, 8, 55, 0, 4, 347410
21, 19, 0, 8, 9, 31, 0, 5, 359453
21, 19, 0, 8, 10, 34, 0, 4, 206027
22, 15, 0, 4, 1, 47, 0, 10, 433456
22, 15, 0, 4, 2, 47, 0, 3, 423529
22, 15, 0, 4, 3, 36, 1, 9, 183546
22, 15, 0, 4, 4, 40, 0, 10, 112134
22, 15, 0, 4, 5, 37, 1, 2, 205481
22, 15, 0, 4, 6, 38, 1, 7, 466075
22, 15, 0, 4, 7, 56, 0, 6, 462991
22, 15, 0, 4, 8, 55, 0, 4, 347410
22, 15, 0, 4, 9, 31, 0, 5, 359453
22, 15, 0, 4, 10, 34, 0, 4, 206027
23, 13, 0, 3, 1, 47, 0, 10, 433456
23, 13, 0, 3, 2, 47, 0, 3, 423529
23, 13, 0, 3, 3, 36, 1, 9, 183546
23, 13, 0, 3, 4, 40, 0, 10, 112134
23, 13, 0, 3, 5, 37, 1, 2, 205481
23, 13, 0, 3, 6, 38, 1, 7, 466075
23, 13, 0, 3, 7, 56, 0, 6, 462991
